,text,label
60,"upon sea-beaten cape,",0
61,"as if we guessed what hers have been,",0
62,"begins, but endeth nevermore;",0
63,how heavy it seemed! as heavy as a stone;,-1
64,sent by an hand unseen;,0
65,taught by the sorrows that his age had known,-1
66,i'll be ther in a minit.,0
67,"burns in thee, child?--what good can thee betide,",0
68,"thus farr to try thee, adam, i was pleas'd,",1
69,"from the slaughtering of my offspring, and the spoiling of my land;",-1
70,with sharp turns weaving,0
71,with war unhopâd the latians to surprise?,0
72,the oil upon the puddles dries,0
73,he who plays with old iagoo,0
74,"left the torn human heart, their food and dwelling-place.",-1
75,"dead among the shouting people,",-1
76,henceforth to labor's chivalry,0
77,"so, then, without a word that might offend",0
78,"the soul with sweetness, and like an adept",1
79,here on the cliff beneath the oleanders,0
80,"and finde thee knowing not of beasts alone,",0
81,whose anvil's even din,0
82,your paynim heroes faster ride,1
83,"he said; and while he spoke, with flying speed",0
84,waiting the flutter of his homemade fly;,0
85,while the rude winds blow off each shadowy crown.,-1
86,"whom phoebus taught unerring prophecy,",0
87,"weâll say instead, the inconsequent creature, man,â",0
88,"the sower scatters broad his seed,",0
89,"before the saintly soul, whose human will",1
90,"and she said: ""what dost thou, brynhild? what matter dost thou seek?""",0
91,"love, on myriad lips fairer than yours, kisses you could not give! . . .",2
92,"as they were loosened by that hermit old,",0
93,"is passed, and our aereal speed suspended.",0
94,"upon her sister dear,",0
95,"and while before me, spotted with white sails,",0
96,"from the pulpit read the preacher, ""goodman garvin and his wife",0
97,and my white cottage--plain.,0
98,"and that is why, the lonesome day,",-1
99,troubling with life the waters of the world.,-1
100,who felt your own thought worthy of record,1
101,one lucent foot's delaying tip,0
102,"then--i would gather it, to thee unaware,",0
103,"how nature to the soul is moored,",0
104,fall again.,0
105,in nothing is wanting;,0
106,"a thousand rubs had flattened down each little cherub's nose,",0
107,"the crown of sorrow on their heads, their loss",-1
108,and seek the danger i was forcâd to shun.,-1
109,godminster chimes,0
110,"or by some cabin door, a bush",0
111,low in supplication bending.,0
112,"has it become to thee a labyrinth never ending,",-1
113,whilst this....,0
114,and to the tender heart and brave,1
115,"lift not your hands in the banded war,",0
116,"raisâd on the seas, the surges to controlâ",0
117,"and wit, like ocean, rose and fell?--",2
118,"by a great master of the past,",1
119,"for high, and yet more high, the murmurs swell",0
120,yet that whip's name too noble,0
121,of course throw monstrous shadows: those who think,-1
122,"but, through the war-cloud, pray to thee",2
123,"a day's experunce 'd prove to ye, ez easy 'z pull a trigger.",0
124,the hostile cohorts melt away;,2
125,glory might burst on us!,1
126,"swing, like a ship at anchor, roun' my base,",0
127,"and then, to go to sleep;",0
128,"would my heart and life flow onward, deathward, through this dream of",2
129,"listening, with half-suspended breath,",0
130,"with peace and soft rapture shall teach life to glow,",1
131,on to their shining goals:--,1
132,and they whispered to each other:,0
133,"brightly expressive as the twins of leda,",1
134,"halcyons of memory,",1
135,and i've been like that silly girl.,-1
136,it spoils me for the smiling of the restââ,1
137,the beacon-light that forth they held,0
138,as hebe's foot bore nectar round,0
139,"that throng our pilgrimage. its sympathy,",0
140,"how your soft opera-music changed, and the drum and fife were heard in their stead;",2
141,daih 's de ho'n a blowin'!,0
142,three hours the first november dawn,0
143,"then he said ""amarant""; and the damsel drew",0
144,the morning and the evening made his day.,0
145,"where your hair from your forehead swerves,",0
146,"here those that in the rapid course delight,",1
147,"so there on an eve is sigurd in the ancient niblung hall,",0
148,no word for a while spake regin; but he hung his head adown,-1
149,to gather weeds in the regardless stream.,0
150,his sweeter voice a just accordance kept.,1
151,in their archetypes endure.,0
152,"the silence, and the rain.",0
153,"and, waking, find it vision,--none the less",0
154,"when i peruse the conquered fame of heroes, and the victories of mighty generals, i do not envy the generals,",2
155,"was in cremona's workshops made,",0
156,"on winter afternoons,",0
157,"who the man, who, called a brother.",0
158,"ambrosial odours and ambrosial flowers,",0
159,"here on the street as strangers do,",0
160,with level wings swinging,0
161,"got the ill name of augurs, because they were bores, â)",-1
162,an' see a hundred hills like islan's,0
163,"eliab this occasion seized,",0
164,"gnossian his shafts, and lycian was his bow:",0
165,"mind us of like repose, since god hath set",0
166,i sate down beneath the beech,0
167,"the meadows mine, the mountains mine, --",0
168,"i see little and large sea-dots, some inhabited, some uninhabited;",0
169,he sat beside the governor and said grace;,0
170,"those hours the ancient timepiece told,--",0
171,and after that the winter cold and drear.,-1
172,honour to the old bow-string!,1
173,"nor is he, as some sages swear,",0
174,"endu'd with human voice and human sense,",0
175,"yea, all the world it might be, and all sounds of the earth were stilled",0
176,"it flows so long as falls the rain,",0
177,"and virtue's bright image, enstamped on the mind,",1
178,bred onely and completed to the taste,0
179,"did from the altar steal a smouldering brand,",-1
180,"what i have heard,",0
181,then the smile from her bright eyes faded and a flush came over her cheek,2
182,"where, all the long and lone daylight,",0
183,"among the sources of thy glorious streams,",1
184,"behind the sea-wall's rugged length,",0
185,while with thy childlike faith we lean,0
186,"the present is enough, for common souls,",0
187,is writ in moods and frowns and wrinkles strange.,-1
188,were murmuring on the stifling air,-1
189,"and brief related whom they brought, wher found,",0
190,for vessels moulded by a mortal hand?,0
191,"as george commands, let him be wrong or right,",0
192,its temples and its palaces did seem,0
193,"forelaid and taken, while he strove in vain",-1
194,"three lives, three strides, three foot-prints in the sand;",0
195,"with dews of tropic morning wet,",0
196,and heavy as the dead.,-1
197,how they will tell the shipwreck,0
198,she listening sate.,0
199,"we were content to show,",0
200,were i once more the lover,0
201,"which leans over to the lane,",0
202,"sky, marsh, my soul, and yonder sail.",0
203,"afar the melancholy thunder moaned,",-1
204,"a spirit of unresting flame,",1
205,"still must mine, though bleeding, beat;",-1
206,"on the clear mirror of a loving heart,",1
207,"an echo returned on the cold gray morn,",-1
208,"how weak this tinkling line,",-1
209,"when thou hadst overcome the sharpness of death, thou didst open the kingdom of heaven to all believers.",2
210,tis gone past recalling!,0
211,lift their blue woods in broken chain,0
212,"love works at the centre,",0
213,with springâs delicious trouble in the ground,2
214,rang the beautiful wild chimes,1
215,shine knightly star and plume of snow?,1
216,"and not be nearer therefore to the moon,",0
217,"the leprous corpse, touched by this spirit tender,",2
218,"then along the river strand,",0
219,"smoothing the clustered hair, and parting it",0
220,so that ye for them are made,0
221,"all along down ""injin crik?""",0
222,attend your brother to the stygian flood.â,0
223,"passing to lap thy waters, crushed the flower",-1
224,"the cloud is gone that wove the sandstone,",0
225,"is beaten by the winds, with foggy vapours bound.",-1
226,of inward strife for truth and liberty.,2
227,"what once has been and ne'er shall be again,",0
228,"the tablet telling where he ""fell on sleep,""--",0
229,as childhood's sweet delight.,1
230,less often man--the harder of the two.,0
231,"now rise and look upon me.""  and she rose,",0
232,"radiant as moses from the mount, he stood",1
233,time never did assuage;,0
234,"the visual nerve is withered to the root,",-1
235,"under these leafy vaults and walls,",0
236,"you have done this, says one judge; done that, says another;",0
237,"blood-dipped arrows, which savages make",-1
238,"how poor these pallid phrases seem,",-1
239,of peace? it is thy father's name. thy life,0
240,"and full of wonder, full of hope as he.",1
241,"""i say it's someone passing.""",0
242,"no, i won't be seein' nobody in the mornin',",0
243,"(so thick they crowd), 'tis hardly seen.",0
244,"""does he mean himself, i wonder?",0
245,"else, sufferâd, it will set the heart on fire,",-1
246,the head that lay against your knees,0
247,he has no calling and he owns no trade.,0
248,but now for me than youâthe other way.,0
249,until the bitter summons fell--,-1
250,"let sophists give the lie, hearts droop, and courtiers play the worm,",-1
251,"down the dark future, through long generations,",-1
252,"at dusk of eve,",0
253,nothin' to du but watch my shadder's trace,0
254,fifty times the brahmins' offer deluged all the floor.,0
255,ran ever clearer speech than that did run,1
256,made snow of all the blossoms; at my feet,0
257,faint voices lifted shrill with pain,-1
258,it is but three times thou hast set thine eyes,0
259,to make a body curse.,-1
260,"except in france; and when itâs found in france,",0
261,"but she spake: ""bid hither gunnar, lest the sun sink o'er the bent,",0
262,sang as little children sing;,0
263,and yet its whole career,0
264,long-drawn bill of wine and beer,0
265,"upon whose boughs were wicker cages hung,",0
266,or the bolder art essaying,0
267,i do not keer a jot;,0
268,"what gods, what madness, hither steerâd your course?",-1
269,"but it is not enough, ah! not enough",0
270,"and gladys said,",0
271,whose instinct was to listen and obey.,0
272,"oh, those days, so sweet, so happy,",1
273,"strove to raise itself in blessing,",1
274,to hide the orb of truth--and every throne,0
275,she still must keep the locket to allay,0
276,yon creamy lily for their pavilion,0
277,"and in the air, her new voice luting soft,",1
278,of nature's gold and mints it.,0
279,come up like ocean murmurs. but the scene,0
280,hale as the morn and happy as her song.,1
281,my fatherâs sister started when she caught,0
282,i can see how you might. but i don't know!,0
283,"the loveliest king of the king-folk, the man of sweetest speech,",1
284,robe us once more in heaven-aspiring creeds,1
285,"with the earls of the goths about her: so queenly did she seem,",1
286,and leaves the world to darkness and to me.,-1
287,"of blooming myrtle and faint lemon-flowers,",0
288,"""before god, sir, i vow, when you are gone,",0
289,but all of them are bad enough,-1
290,"where the cloudy hangings waver and the flickering shadows fall,",-1
291,most beauteous isadore!,1
292,see! neptuneâs altars minister their brands:,0
293,but your dead-ripe ones ranges high fer treatin' nothun bretherin;,-1
294,"from the fair brow; she, rising, only said,",0
295,and what are all the prizes won,0
296,i would not live alway,0
297,"i'm comin', ed.",0
298,"then throâ his breast his fatal sword he sent,",-1
299,a million torches lighted by thy hand,1
300,abloom by sacred streams,1
301,like pageantry of mist on an autumnal stream.,0
302,"the mad briareus of disunion rise,",-1
303,"luck obeys the downright striker; from the hollow core,",0
304,"the fraud of priests, the wrong of law,",-1
305,full of the calm that cometh after sleep:,1
306,and call that brilliant flower the painted cup.,1
307,"let those whom nature hath not made for store,",0
308,"that satraps would have shivered at his frown,",-1
309,"though books on manners are not out of print,",0
310,to turnus only second in the grace,0
311,but descend to the ocean again.,0
312,at his approaching footsteps.  winter came,0
313,"would split, for size of me.",0
314,and willing grow old,0
315,"tells us that the day is ended.""",0
316,"tinkle, tinkle, sweetly it sung to us,",1
317,"""sir, ye shall find him, if ye follow up",0
318,"a crow dot sat a-squawkin', ""i's a mockin'-bird.""",0
319,does beauty slight you from her gay abodes?,2
320,an hundred silken cords are set,0
321,with many sighs;,0
322,"lullâd in her lap, amidst a train of loves,",1
323,"it would be different if more people came,",0
324,the end of the play.,0
325,"with its close-curling gold, and love revived.",1
326,"flew to and fro,",0
327,if the pure and holy angels,1
328,i'm always thinkin' long.,0
329,"in all that clang and hewing out of men,",0
330,"then this old orchard, sloping to the west;",0
331,would we were bidden with the rest!,0
332,"precisely, at all events, what he ought not,",0
333,down in the west upon the ocean floor,0
334,"swifter far than happy night,",1
335,fu' to ba' de battle's brunt.,0
336,accept the gift which i have wrought,0
337,"nathless, as hath been often tried,",0
338,and on her ample square from side to side,0
339,"amidst the gold and the purple, and the pillows of his bed:",0
340,"that you or yours, having an appetite,",0
341,fearless but weary to thy arms i creep;,2
342,"and stiff in fight, but serious drill's despair,",-1
343,"""now the place where the accident occurred----""",0
344,the tale is one of distant skies;,0
345,"an', fust you knowed on, back come charles the second;",0
346,i would not live alway--live alway below!,0
347,endymion would have passed across the mead,0
348,"""o lord, that didst smother mankind in thy flood,",-1
349,inexorable death; and claims his right.,-1
350,her not-nice load.,-1
351,"and say, âfie, pale-face! are you english girls",0
352,"how they had waited for him, to complete",0
353,"nor the president in his presidency, nor the rich in his great house.",2
354,"the king ordains their entrance, and ascends",1
355,whose potent unity and concentric force,1
356,"is shorter than a snake's delay,",0
357,"""he whose lot hath been",0
358,"a sceptre,--monstrous, winged, intolerable.",-1
359,"behind the heads of children) compliments,",0
360,"who, never looking forward, are indeed",0
361,the things it wrought on; i believe,0
362,those cobweb nerves he could not dull within.,-1
363,at once comes tumbling down the rocky wall;,-1
364,and listening to thy home's familiar chime,0
365,a golden helm his front and head surrounds,0
366,"and the words which he utters, are--worship, or die!",-1
367,"deaf, and dumb, and blind, and cold,",-1
368,"and country eyes, and quiet faces --",0
369,"and the old swallow-haunted barns,--",-1
370,"""what hope wouldst thou hope, o sigurd, ere we kiss, we twain, and depart?""",2
371,"knowing this, that never yet",0
372,"these often bathed she in her fluxive eyes,",0
373,when our mother nature laughs around;,1
374,"mine are calm and tranquil days,",1
375,since ferdinand and you begun,0
376,from her stately place on high.,1
377,"""a quick consumption, that no art could cure!",0
378,very sleepy with the silence.,0
379,"howled through the dark, like sounds from hell.",-1
380,"""the snow that husheth all,",0
381,"""rubadub! rubadub! wake and take the road again,",0
382,in every health we drink.,0
383,"then rose they up around him,",0
384,sweet poesy from heaven,1
385,a wild and stormy sea;,-1
386,"their hate, and selfishness, and pride!",-1
387,who god possesseth,0
388,"in town, an' not the leanest runt",-1
389,"now, if thou art a poet, tell me not",0
390,"returne, the starres of morn shall see him rise",0
391,came sages urging on his foamy steed:,0
392,and so i should be loved and mourned to-night.,2
393,"leave the garden walls, where blow",0
394,"the herded wolves, bold only to pursue;",0
395,"i left the place with all my might, --",0
396,"a man in the wars delighting, blind-eyed through right and wrong:",2
397,touch it: the marble eyelids are not wet--,0
398,"he never told us what he was,",0
399,"but de lawd is all aroun' you,",0
400,that passed with you and me.--,0
401,"his boundless gulfs and built his shore, thy breath,",0
402,"and so on. then a worthless gaud or two,",-1
403,"apple-blossoms pink, and low",0
404,o'er time's delusive tide.,-1
405,"concerning him ye wot of, thus to think",0
406,for the greek must ask elsewhere.,0
407,have i played in different countries.,0
408,chief poet on the tiber-side,0
409,heart as though with ashes blending;,-1
410,"yearns to its source. the spirit thirsts for god,",0
411,"her lion-port, her awe-commanding face,",1
412,"a story of the days of old,",0
413,"by his sacrifice, foreknown",0
414,"yet by experience taught we know how good,",0
415,to me that time did not appeire:,0
416,"he takes you from your easy-chair,",0
417,and make the liveliest monkey melancholy.,-1
418,wait his returning strength.,0
419,"the limpid ocean mirrors all the stars,",1
420,"""as the gods would i see,"" said sigurd, ""though death light up the land.""",2
421,"but the great spirit plants it in our hearts,",0
422,that antwerp monks may sing a mass for thy poor spearmen's souls.,0
423,did this wood come floating thick,0
424,and yet perhaps you had been startled less,0
425,"the eyes beside had wrung them dry,",0
426,"their heads, distilling gore, his chariot grace.",2
427,"once upon a time, i lay",0
428,"all hastening onward, yet none seemed to know",0
429,and when i bade the dream,0
430,wid a song up on de way.,0
431,with warning cough and threatening wheeze,-1
432,"and thus each tint or shade which falls,",0
433,"when your rights was our wrongs, john,",2
434,"from kindling spark struck out from dead king's brow,",2
435,"still sigurd rides with the brethren, as oft in the other days,",0
436,and bow to dread inquisitor and worship lords of dust;,-1
437,"of the bivouac fire apart,",0
438,"whether they met on festal eve, in field,",0
439,"""play uppe, play uppe, o boston bells!",1
440,"yon trunk had thrice a hundred rings,",0
441,"said, `pass not, so cold, these manifold",0
442,with pale blue berries. in these peaceful shades--,1
443,"in the twilight of age all things seem strange and phantasmal,",-1
444,"and then, as is my wont, i told",0
445,"thou wovest dreams of joy and fear,",2
446,"thy merited reward, the first assay",1
447,"around my will to link it with her own,",0
448,"i see two boats with nets, lying off the shore of paumanok, quite still;",0
449,to his ears there came a murmur of far seas beneath the wind,0
450,"counts his nectars -- enters,",0
451,her eye proclaims her of the briton line:,0
452,three trojans tug at evâry labâring oar;,0
453,the message is not like what i have learned,0
454,i lay and watched the lonely gloom;,-1
455,"i strive, i pray.",1
456,"his regal seat, surrounded by his friends.",1
457,"skins of otter, lynx, and ermine,",0
458,nile shall pursue his changeless way:,0
459,when blighting was nearest.,-1
460,wilt thou our lowly beds with tears of pity lave?',-1
461,"and tip with feathers, orange and green,",0
462,me honied paths forsake;,0
463,you sha' n't roll yo' eyes at me.,-1
464,"already, land! thou hast declared:  'tis done.",1
465,beneath thy gracious feet!,1
466,in latmian fountains long ago.,0
467,whatever anybody had,0
468,an honest tongue may drop a harmless hint.,1
469,"a man may see the moon so, in a pond,",0
470,"a hundred years, and fifty more, had spread their leaves and snows,",0
471,honour to the bugle-horn!,1
472,"and then he shut his little eyes,",0
473,"blindness like that would scare the mole and bat,",-1
474,"each by his fiery torture howl and rave,",-1
475,"from the overhanging branches,",0
476,"""he!  patron!",0
477,and lips where heavenly smiles would hang and blend,1
478,"appeared to me,--may i again behold it!",0
479,"let us do our work as well,",0
480,"pride of thy sex, miss harriet martineau!",1
481,was she not somewhat that he could not rule,0
482,"looks, and is dumb with awe;",2
483,despised am i by those who call'd me friend,2
484,"even hearts estranged would turn once more to me,",2
485,"but heaven in thy creation did decree,",0
486,"i see them mix'd with george's sons,",0
487,but she always ran away and left,-1
488,i think i'll just call up my wife and tell her,0
489,"sparked a ruby through its heart,",1
490,"leading downward to the river,",0
491,ef zeke had be'n the bigges' man,0
492,tis the djinns' wild streaming swarm,0
493,"busy, with sacerdotal tailorings",0
494,to teach in schools of little country towns,0
495,"betrayed how mightily its heart was stirred,",2
496,"lord, remember me!""",0
497,with the _quart d'heure_ of rabelais!,0
498,still is my heart and vacant is my breath--,0
499,"ah! still, methinks, i hear them calling;",0
500,"uttering bare truth, even so as foes commend.",1
501,"o, i can ne'er forget",0
502,"the love that lived through all the stormy past,",2
503,"when on the boughs the purple buds expand,",0
504,"but o, nevermore can we prison him tight.",-1
505,skirting the stream.,0
506,in the wild glens rough shepherds will deplore,-1
507,"young childhood, with a moisten'd eye,",0
508,to hold it fast.,0
509,godminster? is it fancy's play?,0
510,"i turned, and saw behind me surge",0
511,"for 'twas e'en as a great god's slaying, and they feared the wrath of the sky;",-1
512,"then oer the rushes flies again,",0
513,"no angry bolt, but harmless flame.",2
514,to his aid the strong reverses,0
515,"daily struggling, though unloved and lonely,",-1
516,"with passionate longing burning,",1
517,"jes heavy 'nough to turn a scale thet's doubtfle the wrong way,",0
518,"in the shadow of the shores; as dead leaves wake,",-1
519,"shall dwindle, shall blend,",0
520,"hear its low inward singing,",0
521,"he smell de bacon cookin', an' he hyeah de fiah hum;",0
522,"in our embraces we again enfold her,",1
523,"forever quivering o'er his task,",-1
524,"when thee, the eyes of that harsh long ago",-1
525,upon the thought of perfect noon. and when,1
526,our wavering apparitions pass,0
527,"dearest, why should i mourn, whimper, and whine, i that have yet to live?",2
528,"overleaning, with flickering meaning and sign,",0
529,"we're a band!"" said the weary big dragoon.",0
530,to intercept the sunshine and your face.,0
531,"from flight, seditious angel, to receave",-1
532,and in a pleasing slumber seals his eyes:,1
533,"then pausing, thus his prophecy renews:",0
534,"where holds the soul communion with its god,",0
535,"his song, though very sweet, was low and faint,",2
536,back to its mansion call the fleeting breath?,0
537,"oh, say, is he, the eternal, there?",0
538,"here comes the cripple jane!""  and by a fountain's side",-1
539,"i'm safe enlisted fer the war,",0
540,"i feel the road unroll,",0
541,"the oriole in the elm; the noisy jay,",0
542,when the glance hast lost its beam;,-1
543,can storied urn or animated bust:,0
544,o'er sweet profounds where only love can see.,1
545,their country free and joyous--,1
546,"the play is done,--the curtain drops,",0
547,snows hide his shoulders; from beneath his chin,0
548,"some, not so large, in rings,--",0
549,let the scared dreamer wake to see,0
550,"max laid his hand upon the old man's arm,",0
551,a woman has been strangled with less weight:,-1
552,the other dark-eyed dears,0
553,"we hear our mother call from deeps of time,",0
554,"but she guesses he is near,",0
555,with such vehement force and might,-1
556,but thy tranquil waters teach,1
557,till after-poets only knew,0
558,my prayer away i threw;,0
559,"false-faces hung on strings,",-1
560,"that truthful teacup, our dictator, knows;",0
561,around it cling.,0
562,"that thou should'st smile again?""--the evening came,",0
563,"a privilege, i think,",0
564,"east, west, north, south, are his domain.",0
565,"the china dustless, the keen knife-blades bright,",1
566,"swifter was the hunter's rowing,",1
567,"he plays a little, sings a song,",0
568,"mine eyes were of their madness half beguiled,",-1
569,"to sunset they would sip of the tea, drink of the beer, and eat of the",0
570,"on their tracks his eyes were fastened,",0
571,the days pass over me,0
572,"while i, ... i built up follies like a wall",-1
573,"he scarce had ended, when those two approachd",0
574,and to thy brief captivity was brought,0
575,who wrote this modest version i suppose,0
576,save for a cry that echoes shrill,-1
577,"dark with more clouds than tempests are,",-1
578,"valentines, paper and tinsel,",0
579,misnames as the dog rosey now.,0
580,âreceived that cheque.â but you!... i send you funds,0
581,in monumental pomp! no grecian drop,1
582,"far from the woods where, when the sun has set,",0
583,lowly and soft she said it; but spake out louder now:,0
584,wilt thou forget the love that joined us here?,0
585,"tain't the words alone, but feelin's,",0
586,feel the pulses of the brave,1
587,"still, upon a flower,",0
588,"in a dell mid lawny hills,",0
589,"far out, in peace, the white man's sail",0
590,"her scutcheon shows white with a blazon of red,--",0
591,"at length they turn to nothing else but down,",0
592,look down the shining peaks of all my days,1
593,"from god's design, with threads of rain!",0
594,"and _channing_, with his bland, superior look,",2
595,with sincerest conviction their chairs to the shore;,1
596,the sundown's golden trail?,1
597,pillars by madness multiplied;,-1
598,"sometime, when all life's lessons have been learned,",0
599,"good ringers, pull your best,"" quoth he.",1
600,"as under a sunbeam a cloud ascends,",0
601,twas when you stole my maidenhead;,-1
602,"envy and calumny and hate and pain,",-1
603,"the pain when it did live,",-1
604,"soft, discontented eyes!",-1
605,"so thick, she cannot see her lover hiding,",0
606,me up like that.  'essence de la valliere'--,0
607,the call's more urgent when he journeys slow.,0
608,"in the worst of his poems are mines of rich matter,",2
609,no man could compete with kwasind.,0
610,a tyrian colony; the people made,0
611,"who had my mother's servant been,",0
612,"""i mean estelle has always held the purse.""",0
613,who digs last year's potato hill?--,0
614,"and what then doth he gather? if we know,",0
615,i'm here--so far--and starting on again.,0
616,like slippers after shoes.--,0
617,"""what did you hear, for instance?"" willis said.",0
618,"till they have told their fill, could scarce express",0
619,and never be forgot in mighty rome,1
620,"is plain, thou say'st: but wherefore god this way",0
621,but homesick tears would fill the eyes,-1
622,and i am still the same;,0
623,the moon and the stars were anxious,-1
624,"absently fingering and touching it,",0
625,"while from his hand i squeeze the golden prize,",0
626,"that, following this slight trace,",0
627,"the weird pathetic scarlet of day dawning,",-1
628,"want and woe, which torture us,",-1
629,ashes and jet all hues outshine.,1
630,bird that from the nadir's floor,0
631,"his days in peace; but his straight lips were bent,",2
632,"a fragrance from the cedars, thickly set",0
633,the climax of those hopes and duties dear,1
634,and glance securely round.,0
635,âiâm going to put you on the farm next to it.â,0
636,"thither, if but to prie, shall be perhaps",0
637,have roughened in the gales!,0
638,"and fears are added, and avenging flame.",-1
639,"augmented, sweet, a hundred fold",1
640,"(distinctly here the spirit sneezed,)",0
641,many changes have been run,0
642,is lovely round; a beautiful river there,1
643,gay little heart!,1
644,"fooled with your promises,",-1
645,"that moved in the beginning o'er his face,",0
646,the lady eunice such a life she flew,0
647,but laon? on high freedom's desert land,0
648,"yet both in different colours hide their art,",0
649,"and ye who attend her imperial car,",0
650,along the track. afore the noonday meal,0
651,the very gods arising mid their carven images:,0
652,how seen? how known? as through your glass,0
653,"peep timidly from out its nest,",0
654,and confessors betwixt.,0
655,came in slow pomp;--the moving pomp might seem,0
656,that _she_ should walk beside him on the rocks,0
657,"it steam in winter like an ox's breath,",0
658,"a poet in his youth, and the cuckoo-bird",0
659,her thoughts are like the lotus,0
660,"these are the tales, or new or old,",0
661,when high i heap it with the weed,0
662,i have lost the urban ways.,0
663,"first feels the gathering head of steam,",0
664,"science and song, and all the arts that please;",1
665,"(like essence-peddlers) thet'll make folks long to be without 'em,",0
666,so prythee get thee gone.,0
667,"you'll not want business, for we need a lot",0
668,"trailing, wrecked, it came to land,",-1
669,"warped into adamantine fretwork, hung",0
670,"and all their echoes, mourn;",-1
671,"shining and shouting each to each that place),",0
672,"best gems of nature's cabinet,",1
673,"and sorrowful to-day, thy children set",-1
674,when waves forget to roll.,0
675,"darling, the merciful father",1
676,early or late? or shall that commonwealth,0
677,"the eternal law,",0
678,when lips and heart refuse to part again,0
679,playmates' glad symphony.,1
680,as when i read in god's own holy book.,0
681,"miles off, three dangerous miles, is home;",-1
682,should favour equal to the sons of heaven:,0
683,"pulled by mules dat run like rabbits, each one tryin' to git ahead.",0
684,"how over, though, for even me who knew",0
685,every day a rich reward will give;,1
686,"i watch you in your crystal sphere,",0
687,"unclasped the rusty belt beneath,",0
688,the story of a spavined steed;,0
689,like morning glory,1
690,make a fragrance of her fame.,1
691,if men are always at a loss,-1
692,so that my stern resolve was almost gone.,0
693,"an old smoaked blanket arches oer his head,",0
694,all foredoomed to melt away;,-1
695,the tribute of this verse.,0
696,my daily thoughts perpetual converse held,0
697,of bright and dark obscurity;,2
698,"and that unrest which men miscall delight,",2
699,thy mission to a world of woe.,-1
700,for wanderings sad and lone.,-1
701,"you hardly know when you are coming back,",0
702,"from earth, with the waters of pain.",-1
703,"in slumber; for thine enemy never sleeps,",-1
704,"and hoping chink, she talked of morts of luck:",0
705,to touch such goodness with a grimy palm.,2
706,"sire, son, and grandson; so the century glides;",0
707,"far, far away, o ye",0
708,ode read at the one hundredth anniversary of the fight at concord bridge,0
709,and the rude people rage with ignorant cries,-1
710,"these fly to the heavens--their course never ends,",0
711,jarr'd his own golden region; and before,0
712,"dey kin talk from hyeah to yandah,",0
713,thy sleep makes ridiculous.,-1
714,"be sure to read it rightly. so, i mused",0
715,the wood giant,0
716,"his hand the captive's fetters broke,",-1
717,"""thou of the god-lent crown,",0
718,o sun-hint that hath overspread,0
719,the adulterate death of lucrece and her groom.,-1
720,the dust of half a century lies,0
721,"sat mournfully guarding their corpses there,",-1
722,"sounded o'er earth and sea its blast of war,",-1
723,vain cries--throughout the streets thousands pursued,-1
724,"take the warm welcome of new friends with thee,",1
725,and very venus of a pipe.,0
726,which goaded him in his distress,-1
727,our lives and safeties all;,0
728,sweet hope!,1
729,"pilgrim and soldier, saint and sage,",0
730,"""onaway! my heart sings to thee,",1
731,was freedom's home or glory's grave!,2
732,"tormented by the quickened blood of roots,",-1
